gene	definition	group	log2foldchange	p.value	p.adjust
K16960	tcyN; L-cystine transport system ATP-binding protein [EC:7.4.2.1]	response	0.460735	0.1385878	0.6471459
K16961	yxeM; putative S-methylcysteine transport system substrate-binding protein	progression	0.01513088	0.6549403	0.9260799
K16962	yxeN; putative S-methylcysteine transport system permease protein	progression	0.1233825	0.3457009	0.792076
K16963	yxeO; putative S-methylcysteine transport system ATP-binding protein	progression	0.09749898	0.1660853	0.6595618
K17073	lysX1; putative lysine transport system substrate-binding protein	response	0.2249757	0.2206714	0.686963
K17074	lysX2; putative lysine transport system permease protein	progression	0.1995381	0.9511703	0.9732675
K17076	K17076, lysY; putative lysine transport system ATP-binding protein [EC:3.6.3.-]	progression	0.1512678	0.9511703	0.9732675
K17077	artQ; arginine/lysine/histidine transport system permease protein	response	0.7750813	0.008458416	0.4327822
K17080	PHB1; prohibitin 1	response	0.07548665	0.6549403	0.9260799
K17103	CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	response	0.3770826	0.06619258	0.5201979
K17104	E2.5.1.41; phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]	response	0.2175914	0.2225471	0.686963
K17105	E2.5.1.42; geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]	response	0.2444388	0.1949688	0.6657432
K17108	GBA2; non-lysosomal glucosylceramidase [EC:3.2.1.45]	response	0.1127824	0.8524527	0.9684812
K17195	alsE; D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]	response	0.7174739	0.2703441	0.7221891
K17202	K17202, eryG; erythritol transport system substrate-binding protein	response	0.1722171	0.2623007	0.7221891
K17203	K17203, eryF; erythritol transport system permease protein	response	0.1831938	0.795878	0.956964
K17204	eryE; erythritol transport system ATP-binding protein	response	0.1647287	0.2623007	0.7221891
K17213	K17213; inositol transport system substrate-binding protein	response	0.8362353	0.1470163	0.6471459
K17214	K17214; inositol transport system permease protein	response	0.2391734	0.6549403	0.9260799
K17215	K17215; inositol transport system ATP-binding protein	response	0.4473898	0.5768651	0.910171
K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]	response	0.1287902	0.4430012	0.8612324
K17225	soxC; sulfane dehydrogenase subunit SoxC	progression	0.2469608	0.6403398	0.9260799
K17228	sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35]	response	0.2126358	0.4795001	0.8612324
K17234	araN; arabinosaccharide transport system substrate-binding protein	response	0.1931198	0.3112425	0.7519279
K17235	araP; arabinosaccharide transport system permease protein	response	0.1448521	0.5402033	0.8934715
K17236	araQ; arabinosaccharide transport system permease protein	response	0.1349325	0.4624327	0.8612324
K17241	aguE; alpha-1,4-digalacturonate transport system substrate-binding protein	response	0.0779433	0.2011217	0.6657432
K17242	aguF; alpha-1,4-digalacturonate transport system permease protein	response	0.07670123	0.2011217	0.6657432
K17243	aguG; alpha-1,4-digalacturonate transport system permease protein	response	0.06191431	0.3070139	0.7509308
K17245	chiF; putative chitobiose transport system permease protein	progression	0.07074972	0.1572992	0.6471459
K17246	chiG; putative chitobiose transport system permease protein	progression	0.05925677	0.1572992	0.6471459
K17247	msrQ; methionine sulfoxide reductase heme-binding subunit	progression	0.4080945	0.694581	0.9376526
K17248	pglJ; N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.291]	progression	0.1107725	0.9505655	0.9732675
K17249	pglH; GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase [EC:2.4.1.292]	response	0.3716793	0.4133502	0.8501014
K17315	gtsA, glcE; glucose/mannose transport system substrate-binding protein	response	0.0299824	0.4795001	0.8612324
K17316	gtsB, glcF; glucose/mannose transport system permease protein	response	0.02466567	0.4795001	0.8612324
K17317	gtsC, glcG; glucose/mannose transport system permease protein	response	0.02740753	0.4795001	0.8612324
K17318	K17318, lplA; putative aldouronate transport system substrate-binding protein	response	0.2871258	0.4259831	0.853702
K17319	lplB; putative aldouronate transport system permease protein	response	0.2657884	0.2978602	0.7439571
K17320	lplC; putative aldouronate transport system permease protein	response	0.2433826	0.4624327	0.8612324
K17331	dasC; N,N'-diacetylchitobiose transport system permease protein	response	0.2557333	0.7604075	0.9522438
K17362	ACOT13; acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]	response	0.09417173	0.3545819	0.792076
K17363	urdA; urocanate reductase [EC:1.3.99.33]	response	0.4655422	0.2206714	0.686963
K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	progression	0.1369637	0.444426	0.8612324
K17462	yrrT; putative AdoMet-dependent methyltransferase [EC:2.1.1.-]	response	0.007533899	1	1
K17463	dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	response	0.01307503	0.4795001	0.8612324
K17464	dgaA; D-glucosaminate PTS system EIIA component [EC:2.7.1.203]	progression	0.2803296	0.3143013	0.7519279
K17465	dgaB; D-glucosaminate PTS system EIIB component [EC:2.7.1.203]	progression	0.3572017	0.3562268	0.792076
K17466	dgaC; D-glucosaminate PTS system EIIC component	progression	0.05493642	0.9025233	0.9732675
K17467	dgaD; D-glucosaminate PTS system EIID component	progression	0.2051904	0.8542083	0.9684812
K17468	dgaE; D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]	response	0.01343005	0.4795001	0.8612324
K17472	cymR; Rrf2 family transcriptional regulator, cysteine metabolism repressor	response	0.6191831	0.1984493	0.6657432
K17473	dgaR; sigma-54 dependent transcriptional regulator, dga operon transcriptional activator	response	0.04461514	0.3070139	0.7509308
K17488	mptA; GTP cyclohydrolase IV [EC:3.5.4.39]	response	0.2712769	0.2771532	0.7221891
K17489	E2.1.3.1-12S; methylmalonyl-CoA carboxyltransferase 12S subunit [EC:2.1.3.1]	progression	0.009008497	0.1572992	0.6471459
K17624	engCP, engBF, endoEF; endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]	response	0.608303	0.3143013	0.7519279
K17675	SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]	response	0.2308139	0.6678985	0.9263661
K17680	PEO1; twinkle protein [EC:3.6.4.12]	response	0.2241073	0.3271869	0.7578716
K17686	copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]	response	0.5102258	0.1984493	0.6657432
K17713	bamB; outer membrane protein assembly factor BamB	progression	0.1305842	0.9183132	0.9732675
K17716	capD; UDP-glucose 4-epimerase [EC:5.1.3.2]	response	0.1991195	0.1589959	0.6471459
K17722	preT; dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]	response	0.1488379	0.6459619	0.9260799
K17723	preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]	response	0.07879266	0.6681702	0.9263661
K17733	cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	response	0.9120031	0.3854201	0.8241469
K17734	aprX; serine protease AprX [EC:3.4.21.-]	response	0.4880211	0.05004352	0.490626
K17735	lcdH, cdhA; carnitine 3-dehydrogenase [EC:1.1.1.108]	response	0.04000329	0.6226897	0.9260799
K17737	dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator	response	0.3880959	0.6549403	0.9260799
K17742	SOU1; sorbose reductase [EC:1.1.1.289]	progression	0.1377926	0.64689	0.9260799
K17752	rsbT; serine/threonine-protein kinase RsbT [EC:2.7.11.1]	response	0.2617708	0.6242061	0.9260799
K17758	nnrD; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]	response	0.6156634	0.1870113	0.6657432
K17759	NAXE, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]	response	1.008752	0.01683903	0.4327822
K17810	asl; D-aspartate ligase [EC:6.3.1.12]	response	0.07003035	0.6681702	0.9263661
K17818	ARD1; D-arabinitol dehydrogenase (NADP+) [EC:1.1.1.287]	response	0.004422096	0.8468156	0.9684812
K17828	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]	response	0.3568513	0.1416447	0.6471459
K17830	GGR; digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]	response	0.2499081	0.2225471	0.686963
K17836	penP; beta-lactamase class A [EC:3.5.2.6]	progression	0.08172518	0.8542396	0.9684812
K17837	bla2, blm, ccrA, blaB; metallo-beta-lactamase class B [EC:3.5.2.6]	response	0.688002	0.004606261	0.4327822
K17865	croR; 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]	response	0.1426869	1	1
K17870	nox1; NADH oxidase (H2O2-forming) [EC:1.6.3.3]	response	0.184531	0.388531	0.8241469
K17879	NUDT7; peroxisomal coenzyme A diphosphatase NUDT7 [EC:3.6.1.-]	progression	0.02668801	0.9151617	0.9732675
K17883	mtr; mycothione reductase [EC:1.8.1.15]	progression	0.04273591	0.9151617	0.9732675
K17884	E2.7.8.39; archaetidylinositol phosphate synthase [EC:2.7.8.39]	response	0.2377989	0.3143013	0.7519279
K17898	oraE; D-ornithine 4,5-aminomutase subunit beta [EC:5.4.3.5]	progression	0.01546436	0.4396808	0.8612324
K17899	oraS; D-ornithine 4,5-aminomutase subunit alpha [EC:5.4.3.5]	progression	0.09020438	0.6111195	0.9260799
K17910	aphD; aminoglycoside 2''-phosphotransferase [EC:2.7.1.190]	progression	0.1992866	0.2047341	0.676184
K17938	sbmA, bacA; peptide/bleomycin uptake transporter	progression	0.143635	0.7782342	0.956964
K17948	nanM; N-acetylneuraminate epimerase [EC:5.1.3.24]	response	0.4319025	0.1257864	0.6196924
K17992	hndB; NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]	response	0.2541916	0.4259831	0.853702
K17993	hydA; sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]	progression	0.2242235	0.6064448	0.9258243
K17994	hydD; sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]	progression	0.2803204	0.519612	0.8866001
K17995	hydG; sulfhydrogenase subunit gamma (sulfur reductase) [EC:1.12.98.4]	response	0.2866584	0.2703441	0.7221891
K17996	hydB; sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]	response	0.16655	0.5402914	0.8934715
K18008	hydA; [NiFe] hydrogenase small subunit [EC:1.12.2.1]	response	0.08465604	0.388531	0.8241469
K18009	budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]	response	0.2673723	0.6888048	0.9334848
K18011	kamE; beta-lysine 5,6-aminomutase beta subunit [EC:5.4.3.3]	response	0.3988411	0.3912673	0.8241469
K18012	kdd; L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]	response	0.3094429	0.3583265	0.792076
K18013	kce; 3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]	response	0.04530258	1	1
K18014	kal; 3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]	response	0.3204118	0.2703441	0.7221891
K18015	elaD, sseL; deubiquitinase [EC:3.4.22.-]	progression	0.3651156	0.04105089	0.4741032
K18023	mbhJ; membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]	response	0.1856366	0.3996617	0.8334994
K18028	nicX; 2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9]	progression	0.03401577	0.4506278	0.8612324
K18094	mexX, amrA; membrane fusion protein, multidrug efflux system	response	0.3101503	0.360051	0.7929182
K18095	mexY, amrB; multidrug efflux pump	response	0.2068195	0.7068807	0.9401329
K18104	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	response	0.3672328	0.2388214	0.6947875
K18118	aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	response	0.5762917	0.1367722	0.6471459
K18119	sucD; succinate-semialdehyde dehydrogenase [EC:1.2.1.76]	response	0.08041866	0.6705696	0.9285565
K18120	4hbD, abfH; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	response	0.1085055	0.3912673	0.8241469
K18121	GLYR; glyoxylate/succinic semialdehyde reductase [EC:1.1.1.79 1.1.1.-]	response	0.1367596	0.7068807	0.9401329
K18122	cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]	response	0.4579261	0.1113469	0.587808
K18123	HOGA1; 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]	progression	0.04103012	0.5655631	0.9068061
K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	response	0.3310854	0.1779096	0.6595618
K18139	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system	response	0.625687	0.005857099	0.4327822
K18140	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	progression	0.1536869	0.6521621	0.9260799
K18141	acrE; membrane fusion protein, multidrug efflux system	progression	0.1761063	0.9467837	0.9732675
K18142	acrF; multidrug efflux pump	progression	0.1325847	0.7782342	0.956964
K18143	adeS; two-component system, OmpR family, sensor histidine kinase AdeS [EC:2.7.13.3]	progression	0.03036292	0.1572992	0.6471459
K18144	adeR; two-component system, OmpR family, response regulator AdeR	response	0.1226367	0.6549403	0.9260799
K18146	adeB; multidrug efflux pump	progression	0.0272488	0.1572992	0.6471459
K18148	rtcB; release factor H-coupled RctB family protein	progression	0.140109	0.5713252	0.910171
K18149	pbp5, pbp4, pbp3; penicillin-binding protein	progression	0.009111861	0.6549403	0.9260799
K18151	UAH; ureidoglycolate amidohydrolase [EC:3.5.1.116]	response	0.0248296	0.3070139	0.7509308
K18197	yesW; rhamnogalacturonan endolyase [EC:4.2.2.23]	response	0.4105306	0.2703441	0.7221891
K18199	inhA; cyclohexyl-isocyanide hydratase [EC:4.2.1.103]	response	0.2286596	0.5715457	0.910171
K18205	hypBA1; non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]	response	0.3400875	0.1958635	0.6657432
K18206	hypBA2; beta-L-arabinobiosidase [EC:3.2.1.187]	progression	0.1234304	0.2011217	0.6657432
K18209	tfrA; fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]	response	0.463633	0.6727102	0.9298209
K18210	tfrB; fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]	response	0.5092819	0.2909324	0.7439571
K18214	tetP_A, tet40; MFS transporter, DHA3 family, tetracycline resistance protein	response	0.5138832	0.1984493	0.6657432
K18216	steA, tetA46; ATP-binding cassette, subfamily B, tetracycline resistant protein	response	0.1030282	0.6549403	0.9260799
K18217	steB, tetB46; ATP-binding cassette, subfamily B, tetracycline resistant protein	response	0.1282647	0.4795001	0.8612324
K18218	tet35; tetracycline resistance efflux pump	response	0.3009005	0.2446236	0.6947875
K18220	tetM, tetO; ribosomal protection tetracycline resistance protein	progression	0.2873865	0.9511703	0.9732675
K18221	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	response	0.4234701	0.5170238	0.8849984
K18230	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	response	0.02941407	0.4795001	0.8612324
K18231	msrA, vmlR; macrolide transport system ATP-binding/permease protein	response	0.7107077	0.09146939	0.5651674
K18234	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	response	0.2442951	0.3912673	0.8241469
K18236	lnuB_F, lin; lincosamide nucleotidyltransferase B/F	response	0.04012706	0.6549403	0.9260799
K18237	K18237; ribose 1,5-bisphosphate isomerase [EC:5.3.1.29]	progression	0.1428082	0.1591001	0.6471459
K18240	xanB2; chorismate lyase / 3-hydroxybenzoate synthase [EC:4.1.3.40 4.1.3.45]	response	0.429172	0.1558124	0.6471459
K18244	mmgC; acyl-CoA dehydrogenase [EC:1.3.99.-]	response	0.0869013	0.7844766	0.956964
K18285	mqnE; aminodeoxyfutalosine synthase [EC:2.5.1.120]	response	0.4660207	0.1586333	0.6471459
K18288	ict-Y; itaconate CoA-transferase [EC:2.8.3.-]	response	0.1518237	0.2011217	0.6657432
K18297	mexT; LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator	response	0.2026454	0.6549403	0.9260799
K18301	mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor	progression	0.05596195	0.8443574	0.9684812
K18302	mexJ; membrane fusion protein, multidrug efflux system	response	0.4437575	0.08641073	0.5425491
K18303	mexK; multidrug efflux pump	response	0.3902487	0.04590939	0.490626
K18305	mexG; transmembrane protein	response	0.05170696	0.4795001	0.8612324
K18320	IS15, IS26; transposase, IS6 family	response	1.22552	0.6403398	0.9260799
K18324	acrD; multidrug efflux pump	progression	0.100589	0.9467837	0.9732675
K18325	ramA; AraC family of transcriptional regulator, multidrug resistance transcriptional activator	response	0.5343895	0.9312848	0.9732675
K18326	mdtD; MFS transporter, DHA2 family, multidrug resistance protein	progression	0.1243452	0.7782342	0.956964
K18330	hndA; NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3]	response	0.1506763	0.5402914	0.8934715
K18331	hndC; NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3]	progression	0.2636339	0.3271869	0.7578716
K18332	hndD; NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]	response	0.1824095	0.8064959	0.956964
K18334	fucD; L-fuconate dehydratase [EC:4.2.1.68]	response	0.2021346	0.9151617	0.9732675
K18344	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	response	0.5160451	0.1113469	0.587808
K18345	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	response	0.3161638	0.2978602	0.7439571
K18346	vanW; vancomycin resistance protein VanW	progression	0.1253088	0.6899594	0.9339
K18348	vanT; serine/alanine racemase [EC:5.1.1.18 5.1.1.1]	progression	0.08994183	0.7894807	0.956964
K18349	vanRC, vanRE, vanRG; two-component system, OmpR family, response regulator VanR	response	0.447864	0.2703441	0.7221891
K18350	vanSC, vanSE, vanSG; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	response	0.4029258	0.1416447	0.6471459
K18351	vanSAc; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	response	0.1899212	0.4795001	0.8612324
K18369	adh2; alcohol dehydrogenase [EC:1.1.1.-]	response	0.3021684	0.3912673	0.8241469
K18372	acmB; methyl acetate hydrolase [EC:3.1.1.114]	progression	0.1274421	0.6403398	0.9260799
K18416	THEX1, ERI1; 3'-5' exoribonuclease 1 [EC:3.1.-.-]	response	0.1011123	0.4795001	0.8612324
K18429	legG, neuC2; GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]	response	0.5995845	0.1158341	0.6087736
K18431	legF, ptmB; CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]	response	0.5916756	0.1526914	0.6471459
K18446	ygiF; triphosphatase [EC:3.6.1.25]	response	0.1009295	0.4952623	0.8648426
K18456	E3.5.4.32; 8-oxoguanine deaminase [EC:3.5.4.32]	response	0.1824383	0.6549403	0.9260799
K18471	ydjG; methylglyoxal reductase [EC:1.1.1.-]	response	1.043113	0.01204828	0.4327822
K18474	fabM; trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]	response	0.2394562	0.9013206	0.9732675
K18475	fliB; lysine-N-methylase [EC:2.1.1.-]	response	0.1984223	0.6242061	0.9260799
K18476	tetR; TetR/AcrR family transcriptional regulator, tetracycline repressor protein	response	0.08900874	0.6473702	0.9260799
K18478	yihV; sulfofructose kinase [EC:2.7.1.184]	response	0.5337795	0.04325198	0.4741032
K18479	yihS; sulfoquinovose isomerase [EC:5.3.1.31]	response	0.3930581	0.03717116	0.4658764
K18530	frvX; putative aminopeptidase FrvX [EC:3.4.11.-]	progression	0.2970049	0.9151617	0.9732675
K18531	frvR; putative frv operon regulatory protein	response	0.08313346	0.3070139	0.7509308
K18532	AK6, FAP7; adenylate kinase [EC:2.7.4.3]	response	0.2404337	0.2771532	0.7221891
K18545	sprB; streptogrisin B [EC:3.4.21.81]	response	0.05229724	0.3070139	0.7509308
K18554	cpt; chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]	response	0.9767752	0.2431152	0.6947875
K18555	qnr, mcbG; fluoroquinolone resistance protein	response	0.8808161	0.03662074	0.4658764
K18577	EBM; mannosylglycoprotein endo-beta-mannosidase [EC:3.2.1.152]	response	0.158619	0.7828342	0.956964
K18578	CEL74A; xyloglucan-specific exo-beta-1,4-glucanase [EC:3.2.1.155]	response	0.3578947	0.1770559	0.6595618
K18581	ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]	response	0.9013177	0.01204828	0.4327822
K18588	COQ10; coenzyme Q-binding protein COQ10	response	0.3569296	0.03126109	0.4596789
K18589	dfrA1, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	response	0.02122693	0.7413725	0.9522438
K18590	dfrA12, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	response	0.01883599	0.4795001	0.8612324
K18640	parM, stbA; plasmid segregation protein ParM	response	0.4582216	0.1779096	0.6595618
K18657	zapC; cell division protein ZapC	progression	0.1098629	0.9467837	0.9732675
K18672	dacA; diadenylate cyclase [EC:2.7.7.85]	response	0.4501563	0.01692871	0.4327822
K18673	bglK; beta-glucoside kinase [EC:2.7.1.85]	response	0.4462899	0.3979771	0.8316003
K18675	chbP; N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]	progression	0.06710249	0.6681702	0.9263661
K18676	gspK; glucosamine kinase [EC:2.7.1.8]	response	0.3514786	0.02770041	0.4553978
K18678	VTE5; phytol kinase [EC:2.7.1.182]	response	0.2456329	0.1949688	0.6657432
K18682	rny; ribonucrease Y [EC:3.1.-.-]	response	0.3973597	0.04329747	0.4741032
K18691	mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]	response	0.1120566	0.7133032	0.9401329
K18692	cshB; ATP-dependent RNA helicase CshB [EC:3.6.4.13]	response	0.3566999	0.4569009	0.8612324
K18697	pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]	response	0.2327085	1	1
K18698	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	response	0.4995114	0.832719	0.9684812
K18699	blaSHV; beta-lactamase class A SHV [EC:3.5.2.6]	response	0.02318152	0.6549403	0.9260799
K18700	flK; fluoroacetyl-CoA thioesterase [EC:3.1.2.29]	response	0.729437	0.007050729	0.4327822
K18702	uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]	response	0.3906032	0.1779096	0.6595618
K18704	tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]	response	0.01077205	0.9511703	0.9732675
K18707	mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]	response	0.4417788	0.03733642	0.4658764
K18765	csrD; RNase E specificity factor CsrD	progression	0.1856813	0.7782342	0.956964
K18770	pbpD; penicillin-binding protein 4 [EC:2.4.1.129 3.4.16.4]	response	0.1607068	0.4202681	0.853702
K18778	zapD; cell division protein ZapD	progression	0.1948494	0.7935034	0.956964
K18779	tgtA; 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]	response	0.2439128	0.1949688	0.6657432
K18785	mp2; beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]	response	0.3246704	0.1589959	0.6471459
K18788	wbbD; UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase [EC:2.4.1.303]	response	0.00825492	0.4795001	0.8612324
K18796	blaLEN; beta-lactamase class A LEN [EC:3.5.2.6]	response	0.1921949	0.4795001	0.8612324
K18799	wzxB, rfbX; O-antigen flippase	response	0.01761596	0.4795001	0.8612324
K18800	ubiI; 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]	progression	0.1190778	0.9467837	0.9732675
K18814	ictB; putative inorganic carbon (hco3(-)) transporter	response	0.3233816	0.3744691	0.8170488
K18815	aac6-I; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	progression	0.07028228	0.4941489	0.8648426
K18816	aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	response	0.04337881	0.4269079	0.8546847
K18817	hph; hygromycin-B 4-O-kinase [EC:2.7.1.163]	response	0.9289066	0.4986867	0.8648426
K18824	sul2; dihydropteroate synthase type 2 [EC:2.5.1.15]	progression	0.03069769	0.5092072	0.8733918
K18827	wbdD, wbbD; O-antigen chain-terminating methyltransferase [EC:2.1.1.- 2.1.1.294 2.7.1.181]	response	0.03719858	0.4795001	0.8612324
K18828	mvpA, vapC; tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	response	0.4997955	0.7576693	0.9522438
K18829	mvpT, vapB; antitoxin VapB	response	0.1361884	0.4503683	0.8612324
K18830	pezA; HTH-type transcriptional regulator / antitoxin PezA	progression	0.2323374	0.6215403	0.9260799
K18831	higA; HTH-type transcriptional regulator / antitoxin HigA	progression	0.01140643	0.7594629	0.9522438
K18837	cbtA; cytoskeleton-binding toxin CbtA and related proteins	progression	0.5181018	0.4787354	0.8612324
K18838	cbeA; cytoskeleton bundling-enhancing protein CbeA and related proteins	progression	0.5128307	0.3426744	0.7869511
K18839	ghoT; toxin GhoT	progression	0.5535007	0.4025213	0.8370968
K18840	ghoS; antitoxin GhoS	progression	0.4230385	0.3426744	0.7869511
K18841	chpB, chpBK; mRNA interferase ChpB [EC:3.1.-.-]	progression	0.06736289	0.7984282	0.956964
K18842	chpS, chpBI; antitoxin ChpS	progression	1.111883	0.80135	0.956964
K18843	hicB; antitoxin HicB	response	0.4057205	0.09824835	0.5651674
K18844	aph, spcN; spectinomycin phosphotransferase	response	0.08388908	0.9151617	0.9732675
K18850	ycfD; 50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]	response	0.07155045	0.8642779	0.9732675
K18853	dmrX; dihydromethanopterin reductase (acceptor) [EC:1.5.99.15]	response	0.278623	0.3143013	0.7519279
K18855	E1.1.1.374; UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]	response	0.2135808	0.3979771	0.8316003
K18856	vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]	response	0.00118367	0.3996617	0.8334994
K18862	ldrA_B_C_D; small toxic polypeptide LdrA/B/C/D	progression	1.043045	0.2736462	0.7221891
K18866	vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]	progression	0.07495341	0.6888048	0.9334848
K18882	priL, pri2, priB; DNA primase large subunit	response	0.2207011	0.1949688	0.6657432
K18887	efrA; ATP-binding cassette, subfamily B, multidrug efflux pump	response	0.3354291	0.9262509	0.9732675
K18888	efrB; ATP-binding cassette, subfamily B, multidrug efflux pump	response	0.0839519	0.6335783	0.9260799
K18889	mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump	response	0.2891884	0.3583265	0.792076
K18890	mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump	response	0.4522012	0.1589959	0.6471459
K18891	patA, rscA, lmrC, satA; ATP-binding cassette, subfamily B, multidrug efflux pump	response	0.4092703	0.5715457	0.910171
K18892	patB, rscB, lmrC, satB; ATP-binding cassette, subfamily B, multidrug efflux pump	response	0.3679921	0.2623007	0.7221891
K18895	iroC; ATP-binding cassette, subfamily B, salmochelin/enterobactin exporter	response	0.05057654	0.3070139	0.7509308
